id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2,temperature,temperatureoffset2
93,2017-01-10,86.00,3.25,1014.61,3.77,8.98,88.00,7.60,0.95,0.05,0.35,7.93,3.54,9.93,5.54,5.74,7.74
644,2017-01-11,86.00,4.37,1018.34,3.81,8.48,88.00,8.41,0.98,0.02,0.20,9.92,5.18,11.92,7.18,7.55,9.55
1040,2017-01-12,83.00,4.74,1015.09,4.76,9.39,88.00,16.37,0.93,0.08,0.86,10.61,2.84,12.61,4.84,6.73,8.73
249,2017-01-13,72.00,-0.20,1013.49,7.07,9.87,75.00,18.08,1.02,0.04,0.38,6.98,0.87,8.98,2.87,3.93,5.93
413,2017-01-14,74.00,-0.99,1021.12,4.93,9.86,74.00,10.18,1.05,0.01,0.09,6.51,1.40,8.51,3.40,3.96,5.96
1021,2017-01-15,81.00,0.18,1023.50,4.14,9.30,84.00,7.92,1.02,0.02,0.18,5.97,2.03,7.97,4.03,4.00,6.00
446,2017-01-16,80.00,-0.01,1023.20,4.09,8.78,82.00,8.17,1.05,0.03,0.15,6.18,-2.29,8.18,-0.29,1.95,3.95
350,2017-01-17,69.00,-5.55,1027.94,4.96,9.18,55.00,9.67,0.90,0.00,0.03,2.93,-3.40,4.93,-1.40,-0.24,1.76
587,2017-01-18,66.00,-6.71,1029.65,4.39,9.72,57.00,7.90,0.95,0.00,0.02,2.66,-4.30,4.66,-2.30,-0.82,1.18
311,2017-01-19,69.00,-6.20,1030.26,3.50,9.47,38.00,6.27,0.74,0.00,0.01,3.57,-4.70,5.57,-2.70,-0.57,1.43
1168,2017-01-20,72.00,-5.09,1029.05,2.82,8.32,21.00,5.09,1.00,0.00,0.01,5.49,-3.79,7.49,-1.79,0.85,2.85
592,2017-01-21,72.00,-4.11,1025.79,2.65,7.68,22.00,4.87,0.88,0.00,0.01,7.23,-2.41,9.23,-0.41,2.41,4.41
184,2017-01-22,74.00,-3.03,1023.97,2.78,7.23,50.00,5.65,1.12,0.02,0.19,6.64,-1.18,8.64,0.82,2.73,4.73
811,2017-01-23,75.00,-2.50,1024.58,2.44,7.07,55.00,5.05,1.05,0.01,0.10,6.67,-2.48,8.67,-0.48,2.10,4.10
378,2017-01-24,77.00,-2.72,1026.13,2.52,6.41,57.00,5.30,1.07,0.00,0.01,5.84,-1.88,7.84,0.12,1.98,3.98
118,2017-01-25,79.00,-3.35,1025.55,3.03,7.42,78.00,5.99,1.14,0.01,0.15,2.84,-3.92,4.84,-1.92,-0.54,1.46
219,2017-01-26,76.00,-3.36,1019.82,3.76,7.01,45.00,7.24,1.21,0.05,0.61,6.19,0.44,8.19,2.44,3.32,5.32
492,2017-01-27,73.00,1.02,1013.83,5.09,8.86,78.00,9.31,1.29,0.04,0.33,10.09,4.84,12.09,6.84,7.47,9.47
